id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
28739910,5039751,Jake,Kauai,Koloa-Poipu,21.88382,-159.46551,Entire home/apt,479,2,123,2,206,42,4.94,3.0,3.0,5.0,Home
29011855,111808435,Vacasa,Kauai,North Shore Kauai,22.21675,-159.47273,Entire home/apt,361,3,21,344,364,6,4.67,3.0,3.0,2.0,Home
29011887,111808435,Vacasa,Kauai,Koloa-Poipu,21.91646,-159.52347,Entire home/apt,380,1,40,344,344,7,4.8,2.0,2.0,2.0,Home
28740800,5039751,Jake,Kauai,Koloa-Poipu,21.88598,-159.46567,Entire home/apt,293,2,151,2,288,41,4.89,1.0,1.0,1.0,Guesthouse
29315468,70202710,David,Kauai,Koloa-Poipu,21.87656,-159.44557,Private room,179,1,139,2,195,28,4.93,1.0,1.0,0.0,Guest suite
29040848,107979946,Castle Resorts And Hotels,Kauai,Koloa-Poipu,21.878325,-159.460678,Entire home/apt,527,2,32,49,347,0,4.78,1.0,1.0,1.0,Condo
28808670,47208806,Oceanfront Realty International,Kauai,North Shore Kauai,22.21849,-159.47405,Entire home/apt,341,5,8,71,338,3,4.25,3.0,3.0,2.0,Home
29363223,98570220,Kanani,Kauai,Kapaa-Wailua,22.05701,-159.32815,Entire home/apt,219,4,15,62,313,0,4.8,1.0,1.0,1.0,Condo
29060028,107293305,Gather Vacations,Kauai,North Shore Kauai,22.21607,-159.47701,Entire home/apt,330,1,38,313,308,10,4.89,3.0,3.0,2.0,Home
29393163,107293305,Gather Vacations,Kauai,North Shore Kauai,22.22491,-159.48484,Entire home/apt,519,1,33,313,229,15,4.94,4.0,4.0,5.0,Home
28840853,217427502,Pilimai,Kauai,Koloa-Poipu,21.87993,-159.4568,Entire home/apt,350,5,61,1,203,16,4.95,2.0,2.0,2.0,Condo
28866707,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22231,-159.46869,Entire home/apt,190,3,25,47,172,10,4.52,2.0,2.0,2.0,Condo
29395791,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22705,-159.47521,Entire home/apt,193,3,46,47,283,23,4.67,1.0,1.0,1.0,Condo
29418816,213963120,Hanalei Bay Resort,Kauai,North Shore Kauai,22.21816,-159.4956,Entire home/apt,469,1,244,2,90,76,4.7,2.0,2.0,2.0,Condo
29440038,28035243,Jeff & Shana,Kauai,North Shore Kauai,22.22717,-159.48161,Entire home/apt,325,4,88,44,277,22,4.92,2.0,2.0,2.0,Condo
29445593,29961526,Lisa,Kauai,North Shore Kauai,22.2012,-159.50685,Entire home/apt,1300,2,42,20,253,25,4.98,3.0,3.0,2.0,Home
28915885,33866264,Marney,Kauai,North Shore Kauai,22.20585,-159.49518,Entire home/apt,421,5,36,3,242,7,4.86,2.0,2.0,1.0,Vacation home
29188988,2184953,Claudia,Kauai,Kapaa-Wailua,22.0563,-159.32567,Entire home/apt,228,3,99,3,332,37,4.85,1.0,1.0,1.0,Condo
29263119,22313818,Paul,Kauai,North Shore Kauai,22.2224063873291,-159.48011779785156,Entire home/apt,475,3,105,13,227,31,4.95,3.0,3.0,5.0,Home
28965270,47208806,Oceanfront Realty International,Kauai,North Shore Kauai,22.22268,-159.48006,Entire home/apt,267,3,23,71,302,7,4.91,2.0,2.0,2.0,Condo
28983385,781893,Tom,Kauai,Kapaa-Wailua,22.07383,-159.31733,Entire home/apt,125,7,1,1,48,0,New,1.0,1.0,1.0,Condo
28985881,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22282,-159.4699,Entire home/apt,190,3,32,47,293,13,4.41,2.0,2.0,2.0,Condo
29287731,220650815,Mike,Kauai,North Shore Kauai,22.2159,-159.46843,Entire home/apt,280,27,7,1,185,4,5.0,3.0,3.0,3.0,Townhouse
29309733,71367417,Koloa Kai,Kauai,Koloa-Poipu,21.87095,-159.44711,Entire home/apt,435,4,4,42,152,0,5.0,2.0,2.0,2.0,Condo
29310699,111808435,Vacasa,Kauai,North Shore Kauai,22.22117,-159.4806,Entire home/apt,150,1,40,344,365,13,4.35,0.0,1.0,1.0,Rental unit
29568708,111808435,Vacasa,Kauai,North Shore Kauai,22.22166,-159.48032,Entire home/apt,197,1,45,344,342,16,4.4,1.0,1.0,1.0,Condo
29591929,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22697,-159.47577,Entire home/apt,200,3,22,47,282,9,4.5,2.0,2.0,2.0,Condo
29905168,151398424,Evolve,Kauai,North Shore Kauai,22.22211,-159.47834,Entire home/apt,384,3,1,213,23,0,New,3.0,3.0,3.0,Condo
29594449,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22705,-159.47368,Entire home/apt,200,3,41,47,279,23,4.68,1.0,1.0,1.0,Condo
29926005,10548519,Vacasa Hawaii,Kauai,North Shore Kauai,22.21856,-159.47405,Entire home/apt,352,2,27,90,364,9,4.7,3.0,3.0,2.0,Home
29944820,22313818,Paul,Kauai,Koloa-Poipu,21.87724876403809,-159.46502685546875,Entire home/apt,675,3,73,13,198,12,4.96,2.0,2.0,3.0,Townhouse
29989392,71362662,Vacasa Hawaii,Kauai,North Shore Kauai,22.21946,-159.49586,Entire home/apt,515,2,5,62,364,0,4.2,2.0,2.0,2.0,Condo
30014457,33866264,Marney,Kauai,North Shore Kauai,22.20462,-159.49419,Entire home/apt,750,5,19,3,280,1,4.95,3.0,3.0,2.0,Home
30040701,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22235,-159.46858,Entire home/apt,218,3,44,47,244,16,4.6,3.0,3.0,2.0,Condo
30041321,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22399,-159.48008,Entire home/apt,232,3,25,47,230,11,4.6,3.0,3.0,3.0,Condo
30295844,215548272,Tom,Kauai,North Shore Kauai,22.22379,-159.46758,Private room,999,3,0,32,280,0,New,1.0,1.0,0.0,Villa
30085483,5016810,Anthony & Julie,Kauai,North Shore Kauai,22.22199,-159.47806,Entire home/apt,275,1,128,1,203,33,4.95,2.0,2.0,2.0,Condo
30090785,226096204,Andy,Kauai,Lihue,21.96179,-159.34963,Private room,269,7,3,2,0,0,5.0,1.0,1.0,0.0,Serviced apartment
30345868,680107,Hawaii Life,Kauai,North Shore Kauai,22.21891,-159.49016,Entire home/apt,1007,3,14,162,244,3,5.0,0.0,4.0,0.0,Home
30348256,111808435,Vacasa,Kauai,North Shore Kauai,22.21739,-159.47288,Entire home/apt,797,3,11,344,356,3,4.45,4.0,4.0,4.0,Home
