id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
1725643,89939893,Edison,Honolulu,North Shore Oahu,21.59236,-158.09895,Entire home/apt,100,30,46,3,321,3,4.78,1.0,1.0,1.0,Guesthouse
1726142,677327,Richard,Honolulu,Primary Urban Center,21.30152554880692,-157.84235015505251,Private room,91,3,174,37,128,25,4.61,1.0,1.0,0.0,Rental unit
2123817,3845781,Sarah,Honolulu,Primary Urban Center,21.27434,-157.82304,Entire home/apt,200,25,7,1,0,0,4.29,1.0,1.0,1.0,Condo
1733842,9134033,Todd,Honolulu,Koolaupoko,21.40031,-157.7502,Entire home/apt,167,30,209,1,329,5,4.82,1.0,1.0,1.0,Guest suite
1578534,8390288,Debi,Honolulu,North Shore Oahu,21.65186,-158.05241,Entire home/apt,150,30,48,2,248,1,4.94,0.0,3.0,1.0,Guest suite
1750621,1360072,Dave & Anke,Honolulu,North Shore Oahu,21.58269,-158.13583,Entire home/apt,100,30,78,1,134,6,4.71,2.0,2.0,2.0,Condo
1581386,3317450,Angie,Honolulu,Primary Urban Center,21.28548,-157.83952,Entire home/apt,235,7,238,2,180,11,4.81,0.0,2.0,1.0,Rental unit
1583137,8119064,Sabine,Honolulu,Koolaupoko,21.391829,-157.734482,Entire home/apt,96,29,167,1,211,5,4.84,1.0,1.0,1.0,Bungalow
2142960,10937460,Martin,Honolulu,Primary Urban Center,21.28533565733061,-157.8358236730325,Entire home/apt,129,3,80,3,180,14,4.48,1.0,1.0,1.0,Rental unit
2148940,594329,Elizabeth,Honolulu,Koolaupoko,21.32538,-157.68031,Entire home/apt,350,30,211,1,298,5,4.83,2.0,2.0,2.0,Bungalow
1783189,4231961,Kevin,Honolulu,Primary Urban Center,21.2721,-157.82146,Entire home/apt,116,3,182,2,252,22,4.79,0.0,1.0,1.0,Condo
1802856,7584514,Shahbano,Honolulu,Primary Urban Center,21.28423,-157.83855,Entire home/apt,207,1,215,7,269,40,4.67,0.0,3.0,1.0,Condo
1808150,9476342,Casey & Shae,Honolulu,North Shore Oahu,21.55544,-158.12184,Entire home/apt,150,30,373,4,361,0,4.73,0.0,1.0,1.0,Bed and breakfast
1594667,8443062,Patrick,Honolulu,North Shore Oahu,21.65313,-158.06114,Entire home/apt,595,5,170,1,68,36,4.99,3.0,3.0,2.0,Home
1828027,9476342,Casey & Shae,Honolulu,North Shore Oahu,21.55629,-158.11321,Private room,150,3,221,4,365,0,4.74,0.0,1.0,0.0,Bed and breakfast
2191014,4583552,Thomas,Honolulu,Koolaupoko,21.38491,-157.72789,Private room,99,30,88,3,324,3,4.76,1.0,1.0,0.0,Home
2194493,11192432,Anastasia,Honolulu,Koolauloa,21.615,-157.91374,Entire home/apt,299,3,101,1,333,6,4.68,1.0,1.0,2.0,Rental unit
1836706,9602448,Rick & Inga,Honolulu,North Shore Oahu,21.63904,-158.0439,Entire home/apt,155,30,34,1,365,3,4.97,1.0,1.0,1.0,Guesthouse
1837728,4108165,Rachelle,Honolulu,North Shore Oahu,21.68,-158.03753,Entire home/apt,105,30,54,3,90,0,4.88,1.0,1.0,1.0,Home
2199072,1928202,Meera,Honolulu,East Honolulu,21.27263,-157.70185,Entire home/apt,95,29,226,2,107,6,4.86,0.0,1.0,1.0,Home
1843839,9408793,Ayumi & Robb,Honolulu,East Honolulu,21.29375,-157.72507,Entire home/apt,195,30,334,1,274,2,4.88,2.0,2.0,1.0,Rental unit
1632917,6152625,Vivo,Honolulu,Koolaupoko,21.38208,-157.71146,Entire home/apt,600,30,2,1,204,0,New,4.0,4.0,3.0,Home
