id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
784907448209677301,352781868,Jessica,Hawaii,South Hilo,19.88456,-155.11996,Entire home/apt,367,1,3,30,318,3,5.0,2.0,2.0,2.0,Home
783349897625833422,450044933,Grand Welcome,Hawaii,South Kohala,19.94785,-155.85643,Entire home/apt,140,5,7,67,304,0,4.86,1.0,1.0,5.0,Townhouse
786310365324818811,41842769,Resortica,Hawaii,South Kohala,19.92506663206588,-155.87964427108037,Entire home/apt,271,1,1,103,319,1,New,3.0,3.0,5.0,Condo
784907514049257294,352781868,Jessica,Hawaii,South Hilo,19.88456,-155.11996,Entire home/apt,228,1,9,30,292,9,4.89,2.0,2.0,1.0,Home
783356744054907669,450044933,Grand Welcome,Hawaii,North Kona,19.57196,-155.96391,Entire home/apt,165,7,12,67,307,7,4.83,3.0,3.0,3.0,Townhouse
783357301735101693,450044933,Grand Welcome,Hawaii,North Kona,19.60846,-155.95789,Entire home/apt,584,7,12,67,278,1,3.92,5.0,5.0,2.0,Home
783359469606117576,450044933,Grand Welcome,Hawaii,North Kona,19.62079,-155.98485,Entire home/apt,229,5,8,67,296,1,4.5,1.0,1.0,1.0,Condo
784957855957346808,83430758,Nathaniel,Hawaii,North Kona,19.6075033,-155.9771696,Entire home/apt,399,1,14,2,236,14,5.0,2.0,2.0,2.0,Rental unit
786361700668602009,48697898,South Kohala,Hawaii,South Kohala,19.942837735454955,-155.8659396151652,Entire home/apt,771,3,0,116,267,0,New,2.0,2.0,5.0,Home
783360631033948789,450044933,Grand Welcome,Hawaii,North Kona,19.62331,-155.98542,Entire home/apt,101,7,12,67,325,4,4.33,1.0,1.0,1.0,Condo
783361216804297715,450044933,Grand Welcome,Hawaii,North Kona,19.621540712245466,-155.9853565445228,Entire home/apt,105,3,8,67,313,2,4.0,2.0,2.0,2.0,Condo
788552101695493447,450044933,Grand Welcome,Hawaii,South Kohala,19.91898,-155.87965,Entire home/apt,250,4,4,67,309,1,4.75,2.0,2.0,2.0,Condo
786386962065183265,492192090,Linda,Hawaii,South Hilo,19.71378941815723,-155.07253928183633,Entire home/apt,118,1,21,1,206,21,4.71,1.0,1.0,1.0,Condo
788552654339247444,450044933,Grand Welcome,Hawaii,South Kohala,19.919396738716483,-155.88122857409377,Entire home/apt,274,4,7,67,325,0,4.71,1.0,1.0,2.0,Condo
785043664548169511,7387157,Terry,Hawaii,South Hilo,19.718441431896807,-155.07685225807947,Entire home/apt,231,3,10,16,323,10,5.0,2.0,2.0,2.0,Rental unit
788553899014482171,450044933,Grand Welcome,Hawaii,South Kohala,19.91916,-155.8816,Entire home/apt,149,4,12,67,314,4,4.58,3.0,3.0,3.0,Townhouse
788554733392349202,450044933,Grand Welcome,Hawaii,South Kohala,19.918919968964858,-155.88154001182474,Entire home/apt,160,4,2,67,285,0,New,2.0,2.0,2.0,Condo
788555661296701082,450044933,Grand Welcome,Hawaii,South Kohala,19.925757197847577,-155.88236658947343,Entire home/apt,275,5,15,67,215,3,4.8,2.0,2.0,2.0,Condo
788561034856188633,450044933,Grand Welcome,Hawaii,North Kona,19.60819,-155.97544,Entire home/apt,174,2,19,67,119,6,4.68,3.0,3.0,2.0,Home
788562515062226879,450044933,Grand Welcome,Hawaii,North Kona,19.5661554114419,-155.9652709105523,Entire home/apt,120,3,18,67,262,7,4.94,2.0,2.0,2.0,Condo
788563706672566776,450044933,Grand Welcome,Hawaii,North Kona,19.56758407569722,-155.96101738744366,Entire home/apt,139,3,20,67,322,3,4.75,2.0,2.0,2.0,Condo
785468169338982188,352781868,Jessica,Hawaii,Puna,19.55877,-154.88887,Entire home/apt,271,1,4,30,145,4,4.75,3.0,3.0,2.0,Home
788564060818965606,450044933,Grand Welcome,Hawaii,North Kona,19.55692851727928,-155.95996667684,Entire home/apt,120,5,5,67,319,1,5.0,2.0,2.0,2.0,Condo
788564377058238369,450044933,Grand Welcome,Hawaii,North Kona,19.56767308871092,-155.960823434275,Entire home/apt,110,3,12,67,289,2,4.5,1.0,1.0,1.0,Condo
788565132546540272,450044933,Grand Welcome,Hawaii,South Kohala,19.91860606830388,-155.88615857305507,Entire home/apt,190,3,9,67,293,1,3.89,2.0,2.0,2.0,Condo
788565686947391980,450044933,Grand Welcome,Hawaii,South Kohala,19.919732956826152,-155.88634510282478,Entire home/apt,195,5,1,67,243,0,New,1.0,1.0,1.0,Place to stay
788568908155825637,450044933,Grand Welcome,Hawaii,North Kona,19.62862739080189,-155.98817993852057,Entire home/apt,269,5,0,67,197,0,New,3.0,3.0,3.0,Condo
788570052626726689,450044933,Grand Welcome,Hawaii,North Kona,19.61852,-155.98596,Entire home/apt,229,5,0,67,325,0,New,1.0,1.0,1.0,Condo
786949660262343987,106634470,Marc,Hawaii,Puna,19.53611136150338,-155.13951954887085,Private room,150,30,0,1,89,0,New,1.0,1.0,0.0,Home
788575126655438954,450044933,Grand Welcome,Hawaii,North Kona,19.617464014841843,-155.9824401407804,Entire home/apt,100,3,10,67,296,0,4.6,1.0,1.0,1.0,Condo
788580614468810182,450044933,Grand Welcome,Hawaii,North Kona,19.57943227069365,-155.9643958126441,Entire home/apt,110,3,11,67,255,0,4.64,2.0,2.0,2.0,Condo
788581382803498523,450044933,Grand Welcome,Hawaii,South Kohala,19.91798,-155.88617,Entire home/apt,240,5,3,67,243,2,5.0,2.0,2.0,2.0,Place to stay
788584464855800168,450044933,Grand Welcome,Hawaii,North Kona,19.593352688519005,-155.97076685552514,Entire home/apt,120,3,3,67,307,3,4.67,2.0,2.0,2.0,Condo
785567839981368523,18426432,Christophe And Bonnie,Hawaii,South Kona,19.49548042393325,-155.92205554864609,Entire home/apt,129,2,3,5,168,3,5.0,1.0,1.0,1.0,Dome
787006877513681227,10308533,Danielle,Hawaii,North Hilo,19.909037198676103,-155.15295308006498,Private room,175,1,7,3,7,7,4.43,1.0,1.0,0.0,Bed and breakfast
788950570924508735,340080088,Bianka,Hawaii,North Kona,19.562269311387013,-155.96284732374906,Entire home/apt,165,2,3,67,89,3,4.33,1.0,1.0,5.0,Rental unit
787014657193833574,87789806,Alice,Hawaii,South Kohala,19.92072,-155.88689,Entire home/apt,100,1,0,30,251,0,New,2.0,2.0,2.0,Condo
787015186105461440,87789806,Alice,Hawaii,South Kohala,19.92413,-155.8769,Entire home/apt,100,1,1,30,361,1,New,3.0,3.0,5.0,Villa
788952538180630725,37839136,Vacasa Hawaii,Hawaii,North Kona,19.720944190510536,-155.98305770209984,Entire home/apt,331,31,0,335,365,0,New,4.0,4.0,2.0,Home
787039926900650360,37839136,Vacasa Hawaii,Hawaii,South Kohala,19.925665851933445,-155.79397702945667,Entire home/apt,200,5,0,335,315,0,New,2.0,2.0,2.0,Condo
787091521952376899,389328968,Kristin,Hawaii,Puna,19.43882034293003,-155.1754480322137,Private room,50,1,45,3,72,45,4.96,1.0,1.0,0.0,Home
